Sequence Id	Length	GC
k105_169617	363	49.59
k105_169610	406	30.30
k105_169611	850	62.12
k105_169612	360	31.39
k105_169613	792	52.15
k105_161441	614	32.08
k105_161440	477	55.35
k105_161443	615	34.80
k105_161442	528	57.58
k105_161445	863	33.26
k105_139588	233	42.92
k105_161447	1438	29.90
k105_161446	799	35.17
k105_161448	355	49.86
k105_59154	328	59.76
k105_8410	364	40.38
k105_74547	562	28.65
k105_104471	671	48.29
k105_104470	467	35.12
k105_123399	354	60.73
k105_123398	1306	45.25
k105_104475	1764	62.93
k105_104474	426	62.44
k105_104477	325	63.69
k105_104476	531	57.06
k105_123393	458	69.00
k105_123392	1189	70.48
k105_123391	626	51.28
k105_123390	383	50.65
k105_123397	555	33.33
k105_123396	527	34.35
k105_123395	507	52.66
k105_123394	825	61.21
k105_50703	884	49.77
k105_50704	411	34.79
k105_50705	753	34.79
k105_33884	537	31.66
k105_33885	403	58.56
k105_33886	466	35.62
k105_33880	457	61.49
k105_50706	967	32.37
k105_33882	1354	36.26
k105_33883	915	27.32
k105_126850	607	29.32
k105_33888	745	58.12
k105_33889	683	55.34
k105_40650	471	53.93
k105_61888	374	53.48
k105_151566	818	43.03
k105_161624	510	43.14
k105_40655	332	42.77
k105_120280	1718	68.57
k105_120281	462	49.35
k105_120282	205	34.63
k105_120283	1058	37.62
k105_120284	744	48.52
k105_120285	933	32.80
k105_120286	595	51.09
k105_120287	360	42.78
k105_120288	1221	72.15
k105_120289	858	59.09
k105_40659	634	39.27
k105_126615	356	53.65
k105_126614	473	32.56
k105_126617	308	53.90
k105_126611	609	43.51
k105_169472	324	39.51
k105_126613	417	50.36
k105_126612	323	57.28
k105_126618	998	48.10
k105_162930	666	39.49
k105_121056	685	44.23
k105_162932	994	31.29
k105_162933	2364	45.09
k105_162934	973	35.56
k105_162935	929	50.91
k105_162936	371	42.32
k105_162937	418	36.60
k105_162938	499	70.14
k105_40932	361	24.65
k105_121054	532	67.11
k105_151560	967	28.34
k105_40933	928	31.57
k105_81250	639	37.56
k105_81252	985	31.78
k105_81253	351	29.34
k105_81254	301	36.88
k105_81255	2109	55.76
k105_81256	554	35.92
k105_81257	252	34.92
k105_81258	489	57.06
k105_81259	427	68.85
k105_40931	449	32.29
k105_45519	385	39.74
k105_33517	549	43.90
k105_105700	2289	57.67
k105_105701	727	58.60
k105_105702	1252	32.67
k105_45518	604	43.71
k105_105704	312	57.37
k105_33514	432	51.39
k105_105706	1578	36.50
k105_105707	851	55.70
k105_105708	902	31.60
k105_105709	386	28.76
k105_77408	490	56.73
k105_141133	311	51.13
k105_77409	862	39.79
k105_97687	512	37.11
k105_42824	452	52.65
k105_54254	346	72.25
k105_97688	507	60.55
k105_42825	466	24.68
k105_97689	630	61.11
k105_86714	437	43.25
k105_151562	510	68.24
k105_45511	693	68.11
k105_45999	334	39.22
k105_45510	942	67.09
k105_54255	841	57.31
k105_72432	833	44.54
k105_76158	602	47.34
k105_117923	358	29.89
k105_72433	312	32.05
k105_76155	1052	67.97
k105_76154	645	63.88
k105_76157	629	51.99
k105_76156	460	31.09
k105_76151	425	32.47
k105_76150	391	67.01
k105_76153	339	64.01
k105_76152	321	46.73
k105_42725	490	38.78
k105_72431	570	52.28
k105_42724	543	37.38
k105_77404	1057	38.88
k105_76628	622	36.82
k105_54252	700	38.86
k105_77405	796	46.86
k105_72434	344	33.43
k105_51423	653	31.70
k105_72435	1353	30.82
k105_39749	1907	31.62
k105_151988	476	44.12
k105_50739	1056	55.02
k105_50738	579	60.79
k105_39748	477	28.93
k105_50735	375	57.60
k105_50734	372	44.62
k105_50737	1536	61.00
k105_50736	688	61.92
k105_50731	588	40.82
k105_151282	498	34.14
k105_50733	504	55.75
k105_50732	649	63.48
k105_80121	668	60.63
k105_80120	553	24.95
k105_80123	466	33.69
k105_80122	519	32.56
k105_80125	585	41.71
k105_80124	625	55.36
k105_80127	373	50.13
k105_80129	415	33.73
k105_80128	659	54.63
k105_119531	350	36.00
k105_72953	453	65.56
k105_72952	725	55.72
k105_151286	2062	43.70
k105_151978	402	61.69
k105_151979	326	36.81
k105_54250	323	43.34
k105_72955	1409	38.82
k105_151974	567	35.45
k105_151287	573	37.87
k105_151972	436	45.41
k105_151973	547	64.53
k105_151970	425	38.12
k105_72954	325	46.46
k105_74171	328	51.52
k105_12649	554	51.99
k105_12648	934	50.75
k105_72957	370	52.70
k105_168989	531	53.67
k105_168988	302	58.28
k105_12643	419	60.62
k105_12642	496	65.93
k105_12641	586	58.19
k105_12640	575	58.09
k105_12647	341	63.34
k105_12646	620	61.29
k105_12645	1420	44.08
k105_12644	1075	60.56
k105_13598	524	33.40
k105_13599	451	58.76
k105_39742	470	58.72
k105_54251	236	53.81
k105_13590	518	67.76
k105_13591	477	28.30
k105_13592	325	55.69
k105_13593	424	35.14
k105_13594	394	42.13
k105_13595	335	66.87
k105_13596	859	61.12
k105_13597	413	36.80
k105_54397	1029	33.14
k105_54395	862	63.92
k105_54394	871	70.72
k105_54393	350	33.14
k105_54392	483	61.70
k105_54391	323	72.14
k105_54390	832	75.00
k105_45276	508	54.92
k105_45277	217	50.23
k105_45275	1515	33.60
k105_45272	368	58.70
k105_45273	694	38.62
k105_54399	456	65.35
k105_54398	434	35.25
k105_168997	344	41.86
k105_86468	487	42.51
k105_168990	386	57.51
k105_86469	394	41.88
k105_74230	2426	65.42
k105_168991	702	38.32
k105_54969	243	30.45
k105_86466	493	59.63
k105_51427	512	48.05
k105_138668	590	52.54
k105_168992	1066	39.87
k105_15349	378	28.04
k105_15348	399	33.08
k105_15347	344	28.78
k105_15346	473	30.44
k105_168993	1800	27.61
k105_15343	210	36.19
k105_15342	1872	35.04
k105_15341	316	23.42
k105_15340	453	26.71
k105_106420	638	60.34
k105_106421	626	58.31
k105_106422	352	32.67
k105_114819	457	60.18
k105_106424	581	24.61
k105_106425	11466	43.31
k105_106426	376	42.82
k105_106427	698	29.23
k105_106428	1219	46.60
k105_114813	307	71.01
k105_114810	320	50.00
k105_114811	911	58.51
k105_114816	343	53.35
k105_114817	213	38.97
k105_114814	1466	30.29
k105_114815	1150	61.04
k105_143504	581	35.46
k105_143505	1171	35.44
k105_143506	1482	65.18
k105_143507	378	29.89
k105_143500	407	34.89
k105_143501	446	56.95
k105_143502	347	29.11
k105_143503	454	44.71
k105_156285	789	65.27
k105_156284	330	50.30
k105_156287	585	35.04
k105_143508	626	52.72
k105_156280	525	30.48
k105_156283	364	54.40
k105_156282	445	27.42
k105_84827	388	40.98
k105_168329	638	60.19
k105_168328	599	35.06
k105_118897	350	40.57
k105_161192	980	52.45
k105_168323	460	32.83
k105_168322	1866	64.90
k105_168320	679	58.32
k105_168327	413	35.59
k105_168326	1299	31.49
k105_168325	695	38.85
k105_168324	327	58.72
k105_150629	559	35.60
k105_13586	440	61.82
k105_150625	396	49.24
k105_150624	457	43.98
k105_150627	366	49.73
k105_150626	385	64.42
k105_150621	331	48.04
k105_150620	1034	61.70
k105_150623	530	50.75
k105_150622	718	35.52
k105_75802	595	66.39
k105_45898	1007	30.29
k105_45899	291	27.15
k105_75803	838	59.31
k105_45892	682	51.76
k105_45893	444	35.14
k105_45890	430	36.28
k105_45891	292	36.99
k105_45897	396	43.94
k105_143301	1324	61.40
k105_19998	342	59.94
k105_19999	606	61.88
k105_19996	349	59.89
k105_19997	542	65.87
k105_19994	362	37.02
k105_19995	992	69.15
k105_19992	1003	41.58
k105_19993	667	50.07
k105_19990	883	50.51
k105_19991	561	66.31
k105_161198	421	45.84
k105_128854	336	53.57
k105_75805	238	33.19
k105_7773	337	35.91
k105_143308	323	48.92
k105_156480	1078	33.86
k105_11373	403	30.52
k105_86464	577	41.59
k105_41770	664	26.36
k105_11370	366	35.25
k105_29502	2371	54.20
k105_29503	336	50.89
k105_29500	748	32.49
k105_11371	980	40.00
k105_29506	449	34.97
k105_29507	629	31.64
k105_29504	355	58.31
k105_29505	659	40.67
k105_102837	1006	31.61
k105_29508	375	33.60
k105_29509	326	39.26
k105_20783	661	44.18
k105_64214	2293	33.67
k105_102836	904	48.56
k105_20620	434	54.38
k105_20621	1781	36.66
k105_104868	610	45.08
k105_104869	280	58.21
k105_20624	1051	58.61
k105_11374	696	29.17
k105_20626	505	63.37
k105_20627	342	39.47
k105_104862	722	67.31
k105_104863	325	40.31
k105_104860	559	59.03
k105_102834	2190	48.08
k105_104866	307	64.50
k105_104867	398	54.27
k105_104864	404	49.01
k105_104865	519	68.40
k105_28457	797	37.64
k105_28456	1418	42.95
k105_28455	363	55.10
k105_152398	370	69.19
k105_28453	385	53.51
k105_28452	536	67.16
k105_28451	599	60.10
k105_28450	764	39.14
k105_87387	373	31.90
k105_102839	323	36.53
k105_28459	552	63.59
k105_28458	474	70.04
k105_102838	761	29.70
k105_107357	1828	63.79
k105_96062	313	48.24
k105_116956	665	35.19
k105_152392	619	34.57
k105_83534	377	51.99
k105_147500	861	42.28
k105_147501	378	34.66
k105_147502	1066	61.91
k105_147503	355	42.25
k105_147504	318	45.60
k105_147505	330	31.52
k105_147506	331	62.84
k105_147507	872	44.04
k105_147508	755	67.68
k105_147509	663	66.37
k105_95839	382	36.91
k105_95838	503	55.27
k105_86630	879	61.77
k105_152394	790	43.29
k105_104786	1450	42.41
k105_160657	326	37.42
k105_104785	292	36.99
k105_29738	1499	63.78
k105_17960	744	34.41
k105_63601	1001	44.46
k105_104784	603	53.23
k105_160655	475	30.11
k105_82196	715	51.47
k105_82197	330	66.06
k105_165249	320	45.31
k105_165248	750	34.27
k105_82192	881	39.39
k105_82193	311	38.59
k105_82190	363	39.12
k105_82191	1563	47.66
k105_165243	216	41.20
k105_165242	491	35.23
k105_165241	491	58.04
k105_165240	428	55.84
k105_165247	562	37.37
k105_165246	387	30.23
k105_165245	578	43.77
k105_165244	805	34.04
k105_136135	864	29.63
k105_136134	504	53.17
k105_136137	523	34.23
k105_136136	777	47.88
k105_136131	379	67.02
k105_136130	615	62.93
k105_136133	534	44.57
k105_37835	377	47.48
k105_136139	2194	62.26
k105_136138	1038	64.64
k105_32554	484	41.53
k105_80977	838	44.63
k105_80974	1781	60.02
k105_80972	1537	53.42
k105_80973	302	47.68
k105_80970	727	60.94
k105_80971	645	66.82
k105_18128	667	28.19
k105_80978	357	42.58
k105_80979	442	57.69
k105_71424	370	26.49
k105_87618	742	59.97
k105_87619	584	61.30
k105_116333	358	62.57
k105_71425	368	52.45
k105_87613	545	28.99
k105_87610	1131	65.34
k105_87611	316	67.41
k105_87616	742	60.38
k105_87617	307	47.23
k105_87614	974	62.94
k105_87615	629	37.36
k105_18124	810	58.40
k105_114529	313	60.70
k105_160659	1493	52.31
k105_18125	450	67.11
k105_160658	638	38.09
k105_150582	1199	58.72
k105_96272	456	37.50
k105_96568	448	51.12
k105_18127	2219	39.16
k105_96562	1438	31.36
k105_116339	371	67.92
k105_71423	375	37.07
k105_96566	670	44.78
k105_96567	310	48.06
k105_96564	333	34.53
k105_116338	967	54.08
k105_9223	420	55.95
k105_114522	287	68.29
k105_150586	571	54.99
k105_114523	433	51.04
k105_85799	463	47.73
k105_107427	402	30.85
k105_18123	461	50.76
k105_78696	422	60.66
k105_96277	259	32.82
k105_106415	670	31.34
k105_21999	536	48.32
k105_86168	557	56.73
k105_106414	448	77.23
k105_21994	868	30.99
k105_21997	581	31.33
k105_21996	713	31.84
k105_21991	2200	45.82
k105_21990	2027	36.61
k105_21993	308	33.77
k105_21992	334	42.81
k105_2021	331	55.89
k105_86498	708	52.40
k105_114049	329	41.03
k105_114048	1256	44.03
k105_150886	358	62.85
k105_106413	831	49.94
k105_119128	894	58.72
k105_114041	803	56.66
k105_114040	466	44.64
k105_114043	2110	45.26
k105_114042	384	57.03
k105_114045	909	64.80
k105_114044	726	36.36
k105_114047	252	48.41
k105_114046	228	50.44
k105_51853	691	61.94
k105_114867	406	61.58
k105_51851	337	53.41
k105_111737	434	64.98
k105_138665	981	35.37
k105_114866	536	50.93
k105_126699	404	48.02
k105_78690	516	52.91
k105_114865	369	63.14
k105_126698	405	61.98
k105_146293	922	55.75
k105_146292	580	40.52
k105_146291	373	41.82
k105_146290	539	46.94
k105_132908	328	32.62
k105_146295	355	68.45
k105_146294	1266	62.56
k105_132904	708	51.55
k105_132905	2125	52.38
k105_146299	348	54.60
k105_146298	371	42.32
k105_132900	267	61.05
k105_132901	885	33.56
k105_132902	465	51.61
k105_132903	742	52.56
k105_119121	342	52.63
k105_84204	302	34.77
k105_151436	314	56.69
k105_114861	760	57.50
k105_78691	973	56.94
k105_63731	1640	35.55
k105_114860	1063	62.75
k105_20942	1241	35.46
k105_37833	570	70.00
k105_51071	812	65.27
k105_119122	340	44.41
k105_159292	600	55.00
k105_94860	360	51.67
k105_126691	416	58.41
k105_2022	372	61.56
k105_19459	432	65.05
k105_126690	302	66.89
k105_84205	445	61.35
k105_94862	1280	61.95
k105_119127	518	50.19
k105_51075	1263	53.29
k105_126692	302	61.26
k105_96068	2086	60.40
k105_51074	812	60.71
k105_118658	470	47.45
k105_126436	384	38.54
k105_51077	664	30.57
k105_118659	431	37.59
k105_94866	414	59.42
k105_9179	588	33.84
k105_19453	303	37.95
k105_94868	650	71.85
k105_112278	567	56.26
k105_40649	364	23.35
k105_60009	779	31.58
k105_14473	517	55.32
k105_19456	352	61.93
k105_117538	353	33.43
k105_117539	472	35.38
k105_150098	329	48.63
k105_118651	506	56.92
k105_117530	491	51.73
k105_117532	312	34.94
k105_19454	335	40.60
k105_117534	381	56.43
k105_118652	703	42.82
k105_159297	1140	43.77
k105_159718	345	33.91
k105_171185	391	35.29
k105_171184	526	30.42
k105_83538	543	68.69
k105_171186	640	44.69
k105_171181	308	36.04
k105_171180	741	50.07
k105_171183	2453	42.89
k105_171182	737	35.69
k105_102789	383	50.39
k105_86463	354	36.44
k105_171189	281	43.06
k105_30188	317	46.06
k105_102788	402	43.03
k105_150099	326	49.69
k105_112272	472	60.38
k105_140558	360	31.11
k105_112273	403	36.48
k105_159296	472	51.27
k105_152027	738	56.23
k105_69434	552	46.20
k105_152026	345	57.97
k105_29212	508	57.68
k105_86288	1064	63.63
k105_57868	427	56.67
k105_57869	439	38.72
k105_20949	507	47.14
k105_140559	891	44.22
k105_57860	462	52.16
k105_57861	321	65.73
k105_57862	378	44.18
k105_57863	1369	58.66
k105_57864	344	41.28
k105_57866	335	57.01
k105_57867	1974	34.40
k105_58519	630	56.19
k105_58518	413	41.40
k105_95489	327	55.96
k105_140760	481	60.91
k105_58511	716	32.26
k105_58510	517	66.34
k105_58513	1416	40.47
k105_58512	1104	49.37
k105_95480	469	30.06
k105_58514	866	30.60
k105_58517	348	36.78
k105_95483	325	50.46
k105_136957	488	62.09
k105_136956	508	42.13
k105_136955	493	43.20
k105_37839	347	35.16
k105_136953	330	44.24
k105_17385	801	41.20
k105_136951	871	36.28
k105_136950	551	60.98
k105_63438	954	43.82
k105_86280	864	52.43
k105_136959	344	37.50
k105_136958	302	55.96
k105_99480	567	29.28
k105_99481	232	39.66
k105_99482	3408	39.50
k105_99483	377	59.95
k105_99484	461	58.35
k105_99486	593	41.65
k105_99487	822	62.77
k105_99488	411	59.85
k105_99489	716	36.45
k105_9468	416	40.62
k105_86287	748	46.52
k105_48124	211	34.60
k105_48126	538	34.57
k105_48121	491	49.69
k105_48120	2315	37.06
k105_3158	648	47.07
k105_48122	1549	67.08
k105_3156	470	43.19
k105_3157	921	31.70
k105_3154	522	38.51
k105_3155	380	40.79
k105_48129	246	62.20
k105_3153	348	56.61
k105_3150	306	36.27
k105_3151	410	40.00
k105_105788	427	35.36
k105_105789	381	72.18
k105_170274	397	39.04
k105_170275	302	25.83
k105_170276	549	42.08
k105_170277	415	53.25
k105_103359	397	58.19
k105_103358	796	44.22
k105_155088	306	51.31
k105_155089	419	35.80
k105_103355	362	58.01
k105_155087	402	57.21
k105_103357	496	54.23
k105_155085	355	48.17
k105_155082	995	37.59
k105_155083	328	51.83
k105_155080	464	33.41
k105_155081	757	59.97
k105_43069	367	31.34
k105_150639	574	54.01
k105_142897	930	44.62
k105_150092	314	48.73
k105_43068	307	62.21
k105_142896	385	34.55
k105_7387	1562	62.74
k105_7386	366	38.52
k105_7385	2242	36.08
k105_136473	356	46.91
k105_7383	464	32.54
k105_49209	454	52.64
k105_7381	828	58.45
k105_142898	562	33.45
k105_51622	627	30.30
k105_105782	1212	32.51
k105_7389	341	34.90
k105_7388	371	63.34
k105_67140	481	60.71
k105_67141	3103	46.99
k105_67142	345	33.62
k105_67143	337	45.10
k105_67144	390	51.54
k105_67145	343	69.39
k105_67146	334	39.82
k105_6471	442	33.48
k105_67148	309	45.63
k105_67149	418	51.67
k105_6478	613	35.07
k105_6479	417	28.06
k105_128698	336	30.36
k105_49208	1652	60.77
k105_105786	307	37.79
k105_51623	639	37.09
k105_7795	455	29.67
k105_91813	604	71.52
k105_91812	502	29.28
k105_91811	578	33.22
k105_91810	320	51.88
k105_91817	587	52.13
k105_91816	473	57.72
k105_91815	334	61.08
k105_91814	1120	60.80
k105_140553	479	50.94
k105_91819	387	54.26
k105_91818	1671	49.07
k105_43064	463	36.50
k105_16445	1454	63.34
k105_16444	591	55.84
k105_16447	802	26.31
k105_16446	377	61.54
k105_16440	346	25.72
k105_16443	624	62.02
k105_16442	550	57.64
k105_16448	497	30.18
k105_133828	748	32.49
k105_133829	756	45.90
k105_95479	1603	38.86
k105_140550	778	69.54
k105_148904	467	46.04
k105_133820	331	30.82
k105_133822	762	29.92
k105_133823	559	49.19
k105_133824	355	54.65
k105_133825	1035	37.78
k105_133826	578	53.98
k105_133827	465	50.11
k105_93415	450	53.56
k105_93414	688	52.76
k105_24468	559	30.59
k105_24469	870	53.91
k105_93411	372	37.63
k105_93410	747	35.61
k105_93413	428	56.07
k105_93412	390	52.05
k105_24462	3517	53.26
k105_24463	727	62.86
k105_24460	441	56.46
k105_24466	466	66.31
k105_24467	764	34.55
k105_24464	709	56.28
k105_24465	377	55.44
k105_116797	541	47.32
k105_156744	398	37.19
k105_140551	481	59.67
k105_148903	309	57.93
k105_61880	714	44.26
k105_40717	453	62.25
k105_65779	463	31.32
k105_65778	1328	66.11
k105_109980	1249	67.17
k105_109981	457	59.74
k105_109986	491	62.32
k105_109987	551	67.88
k105_109984	365	63.84
k105_109985	587	41.57
k105_65770	1669	36.49
k105_65773	385	69.87
k105_109989	1102	63.70
k105_65775	1416	39.55
k105_65774	432	68.52
k105_65777	418	34.21
k105_65776	330	43.33
k105_156742	353	43.91
k105_73598	961	60.46
k105_73599	486	67.90
k105_73596	555	26.85
k105_136478	919	58.65
k105_73594	959	37.64
k105_156743	975	24.92
k105_73593	633	34.44
k105_51627	722	34.49
k105_148908	520	53.85
k105_66231	422	41.00
k105_66230	343	48.98
k105_66233	448	56.25
k105_66232	2034	33.38
k105_66235	521	40.88
k105_66234	237	43.04
k105_66237	626	56.07
k105_66236	502	40.04
k105_66239	446	38.79
k105_66238	347	52.74
k105_150094	2025	31.75
k105_159705	375	46.13
k105_19987	306	33.01
k105_87322	426	61.74
k105_87323	346	55.20
k105_87320	653	56.36
k105_60691	367	32.43
k105_60690	344	51.74
k105_17718	422	44.55
k105_60695	989	55.31
k105_60694	830	66.27
k105_60697	947	39.49
k105_60696	823	53.58
k105_17712	1881	62.47
k105_87326	474	64.77
k105_17716	2137	31.31
k105_17717	821	30.69
k105_17714	320	53.12
k105_87327	444	57.43
k105_63346	2246	61.53
k105_63347	504	52.38
k105_63344	717	37.94
k105_63345	570	32.11
k105_63342	363	44.63
k105_44879	666	51.05
k105_63340	378	37.04
k105_63341	527	54.46
k105_50269	435	28.74
k105_87325	490	38.98
k105_173118	433	57.27
k105_173119	301	38.21
k105_63348	1156	67.47
k105_63349	508	56.30
k105_62699	542	34.13
k105_7793	588	27.72
k105_23168	1453	60.56
k105_23169	370	66.76
k105_23166	421	60.81
k105_23165	1231	49.63
k105_23162	202	60.89
k105_44875	676	30.47
k105_23160	504	35.32
k105_23161	705	46.95
k105_168907	994	62.98
k105_44874	699	62.52
k105_127818	456	32.68
k105_127819	990	28.08
k105_168906	586	60.41
k105_127814	335	60.00
k105_127815	322	41.61
k105_127816	480	33.96
k105_127817	1121	33.99
k105_127810	729	46.78
k105_127811	478	45.61
k105_127812	494	62.55
k105_127813	850	37.41
k105_131462	318	40.88
k105_131463	712	63.20
k105_131460	1101	50.59
k105_131461	2351	44.02
k105_131466	1858	26.48
k105_131467	1205	35.93
k105_131464	380	52.63
k105_131465	1912	31.64
k105_55831	562	38.26
k105_55830	690	24.78
k105_131468	463	33.26
k105_131469	740	29.05
k105_55835	1898	59.22
k105_55834	396	31.06
k105_55837	910	47.14
k105_55836	602	35.71
k105_157646	387	58.40
k105_157647	657	47.64
k105_157644	1091	43.81
k105_157645	840	47.62
k105_157642	2040	40.69
k105_157643	456	46.93
k105_157640	1651	33.68
k105_157641	684	30.85
k105_168900	640	44.06
k105_86491	530	30.38
k105_157648	339	48.67
k105_157649	303	35.31
k105_33152	1022	36.11
k105_33150	2298	30.68
k105_33151	794	35.77
k105_33156	690	63.33
k105_33157	375	33.87
k105_33154	1867	62.29
k105_33155	408	38.97
k105_33158	854	34.43
k105_33159	592	46.28
k105_86496	307	65.80
k105_72072	306	58.82
k105_72073	413	46.49
k105_72070	373	42.09
k105_72071	594	31.82
k105_71890	412	68.20
k105_72077	1101	41.42
k105_72074	228	35.53
k105_72075	403	34.49
k105_72078	824	30.95
k105_72079	1833	39.83
k105_92327	629	59.14
k105_5121	813	30.26
k105_5120	231	33.77
k105_5123	207	67.63
k105_5122	1023	33.04
k105_5125	357	46.78
k105_5124	397	43.32
k105_5127	485	50.72
k105_5126	575	60.17
k105_5129	215	34.88
k105_5128	351	22.22
k105_4290	663	66.67
k105_49517	790	35.44
k105_4292	736	56.52
k105_4293	345	46.09
k105_4294	1019	38.27
k105_4295	477	32.08
k105_4296	716	31.28
k105_88281	351	56.98
k105_4298	505	29.70
k105_23780	314	54.46
k105_23781	449	35.86
k105_23786	372	35.48
k105_23787	691	29.67
k105_23784	1476	46.48
k105_23785	858	53.26
k105_36656	525	37.14
k105_36657	513	63.16
k105_36654	402	28.61
k105_36655	410	44.63
k105_36653	874	35.47
k105_36650	434	52.07
k105_36651	810	66.05
k105_49513	1125	62.13
k105_139379	774	41.09
k105_36658	450	55.78
k105_49512	331	67.98
k105_166714	757	31.18
k105_163799	907	35.39
k105_163798	807	32.34
k105_44841	555	72.07
k105_49511	493	58.01
k105_46580	621	63.93
k105_163793	200	59.00
k105_163792	358	28.77
k105_163791	596	40.77
k105_88287	319	57.99
k105_163797	376	35.64
k105_163796	501	53.09
k105_163795	812	30.17
k105_163794	461	47.94
k105_9716	506	39.13
k105_9717	618	49.68
k105_9714	459	32.68
k105_46582	791	68.39
k105_62483	375	35.73
k105_9713	340	45.29
k105_9710	1524	44.82
k105_9711	433	32.10
k105_46585	536	37.31
k105_9718	895	38.88
k105_46584	452	61.95
k105_30391	996	63.55
k105_105439	446	34.75
k105_94583	204	32.35
k105_46587	563	36.77
k105_46586	383	64.75
k105_156515	399	42.86
k105_156514	1374	29.84
k105_156517	470	41.91
k105_156516	1877	48.53
k105_156511	599	59.27
k105_156510	383	37.86
k105_156513	627	66.03
k105_156512	427	38.64
k105_156519	617	37.60
k105_156518	447	57.72
k105_122945	654	39.60
k105_122944	608	50.49
k105_122947	473	30.66
k105_122946	608	49.01
k105_122941	315	59.68
k105_122940	337	61.72
k105_122943	363	36.09
k105_122942	392	57.14
k105_122949	391	35.29
k105_122948	357	42.86
k105_59691	379	62.80
k105_18853	551	53.54
k105_126389	372	65.59
k105_126388	584	38.53
k105_126387	524	60.69
k105_126386	399	49.12
k105_126385	983	60.73
k105_126384	426	42.49
k105_126383	1403	40.41
k105_126381	1387	56.60
k105_126380	2052	64.08
k105_84482	1139	36.00
k105_84483	455	29.89
k105_168048	839	66.75
k105_168049	361	34.35
k105_84486	586	57.85
k105_84487	531	37.48
k105_84484	759	32.02
k105_50449	328	53.05
k105_168042	459	65.80
k105_168043	308	42.86
k105_168040	375	60.00
k105_168041	674	60.24
k105_168046	984	34.35
k105_168047	656	55.18
k105_168044	387	42.38
k105_168045	324	36.42
k105_74029	337	60.24
k105_74028	562	57.65
k105_160219	393	48.60
k105_160218	356	58.43
k105_160217	401	48.38
k105_160216	478	59.00
k105_160215	679	65.24
k105_160214	684	61.70
k105_59693	306	71.57
k105_160212	485	50.93
k105_160211	1347	51.74
k105_160210	822	31.87
k105_8449	996	40.26
k105_8448	420	35.95
k105_86510	307	38.11
k105_25788	454	43.61
k105_25789	1017	40.51
k105_86810	500	53.60
k105_25785	911	62.13
k105_25786	639	60.72
k105_25787	1660	45.24
k105_25780	910	57.03
k105_25781	613	63.95
k105_25782	2054	45.72
k105_25783	568	51.58
k105_171466	548	31.57
k105_85231	469	43.07
k105_171467	364	30.22
k105_143925	311	32.48
k105_171464	367	31.34
k105_125896	470	54.68
k105_172255	1011	56.18
k105_125897	396	37.37
k105_150919	344	33.72
k105_116381	517	55.90
k105_150917	493	56.19
k105_150915	2157	47.01
k105_150914	511	65.17
k105_150913	378	31.22
k105_150912	354	50.56
k105_150911	414	43.72
k105_150910	379	53.30
k105_51418	453	54.30
k105_40558	528	38.07
k105_162326	1977	36.98
k105_8877	831	45.73
k105_20634	357	42.86
k105_171468	420	53.33
k105_127038	457	56.89
k105_127039	1035	56.71
k105_127036	1039	33.59
k105_127037	329	55.02
k105_127034	768	62.24
k105_127035	372	60.48
k105_127032	408	47.55
k105_127033	558	50.90
k105_127030	303	32.01
k105_127031	398	67.34
k105_169799	306	36.27
k105_169798	675	46.52
k105_83131	808	64.85
k105_83130	702	47.29
k105_83137	402	41.79
k105_83136	321	58.57
k105_83135	331	34.14
k105_12134	349	32.95
k105_169791	2486	41.67
k105_169790	471	38.43
k105_169793	356	67.98
k105_169792	354	57.06
k105_169795	305	50.82
k105_46899	391	48.34
k105_169797	367	54.50
k105_169796	311	32.80
k105_43319	412	56.07
k105_43318	950	45.58
k105_115685	2308	31.50
k105_43313	424	44.81
k105_115727	309	51.13
k105_43311	748	31.28
k105_43310	529	34.03
k105_43317	346	48.27
k105_43316	1209	39.70
k105_43315	1502	45.07
k105_115726	677	38.40
k105_154922	470	47.66
k105_154920	380	31.32
k105_154921	1051	30.07
k105_154926	1684	28.98
k105_154927	319	48.59
k105_154924	320	40.62
k105_154925	393	34.61
k105_82426	600	43.83
k105_82427	881	57.43
k105_154928	696	34.63
k105_154929	804	36.32
k105_82422	759	66.27
k105_82423	309	68.28
k105_97769	410	65.12
k105_97768	370	37.84
k105_72858	548	61.31
k105_72859	995	31.46
k105_72854	625	36.80
k105_72855	359	62.40
k105_72856	375	55.20
k105_17146	370	31.08
k105_72850	669	29.15
k105_115729	541	41.59
k105_72852	553	64.01
k105_72853	355	36.90
k105_59699	440	50.45
k105_18738	910	28.79
k105_115728	373	43.43
k105_10837	1011	32.84
k105_172251	941	35.60
k105_125893	898	44.99
k105_46897	601	33.78
k105_18733	545	53.21
k105_18735	336	35.42
k105_18734	415	56.14
k105_18737	837	39.67
k105_12138	327	46.18
k105_166686	316	33.23
k105_33962	437	66.59
k105_33961	347	58.50
k105_33960	341	34.02
k105_33967	520	49.04
k105_33966	705	65.53
k105_166680	326	34.66
k105_33964	211	60.66
k105_33969	703	37.84
k105_33968	1306	28.18
k105_166689	584	36.13
k105_42707	330	72.73
k105_172252	335	32.54
k105_8873	532	40.60
k105_53811	361	49.86
k105_75813	324	54.94
k105_52519	344	60.17
k105_105244	374	44.65
k105_71509	614	38.27
k105_71508	341	68.91
k105_104092	761	35.61
k105_71503	486	29.63
k105_71502	443	48.31
k105_71501	1095	30.59
k105_71500	644	45.03
